profile_name,zstar,Csurf,Cmin,Zmin,Cdeep,r2,rmse,pcterr,npoints,Cmeasure
40A5014,10.793264006665476,1.06,0.02,35.83044544562426,0.038333333333537535,0.9985680079968392,0.03582364210034113,0.1444444444492088,8.0,OC
40A5015,19.50297264784753,0.8182085342570948,0.07,43.41361121725258,0.08833333342223647,0.9864387899295989,0.08322354326143852,0.029765268311294543,9.0,OC
40A5016,13.317462832655202,0.85,0.08,28.769300395604674,0.098,0.9897509750975096,0.06985699678629191,0.053769841269841294,7.0,OC
40A5020,13.706631616788934,1.11,0.12,24.934534636259293,0.1800000000028539,0.987667009249743,0.08485281374238571,0.08333333334522464,3.0,OC
40A5023,6.569749148296309,1.81,0.03,17.91949419275537,0.11833333344293627,0.995595374806286,0.10432321569685885,0.2946754031840303,8.0,OC
40A5031,16.60190734425172,1.4577478124796317,0.09,42.9021104544767,0.11000000000000182,0.9991530690184542,0.03603805297792356,-0.006461371846698848,7.0,OC
40A5032,12.297534700154964,1.49,0.09,29.805897339117635,0.13200000000132509,0.994917440660475,0.08876936408468859,0.06095238096016326,7.0,OC
40A5034,6.70231890425085,4.90068758950814,0.16,20.430280420347696,0.23250000003137533,0.9843748519206484,0.5457011014251332,0.0063988022684408775,7.0,OC
40A5037,6.784535481044251,5.87,0.3,18.845489414303632,0.36500000000000044,0.99960553603335,0.09192388155425117,0.016375968992248607,4.0,OC
40A5039,15.61269835062073,2.3533414165896014,0.09,41.49302536326313,0.16500000000001996,0.9976432367989203,0.10289662924997593,0.06851701651758282,7.0,OC
40A5040,5.100208827437439,7.057968627671293,0.19,16.35086529357718,0.28600000044037155,0.9887432385357322,0.6927898650719619,0.020521075946772757,8.0,OC
40A5044,14.66389147567621,2.6051010036990854,0.01,68.13358527958528,0.025000000168959917,0.939038638252641,0.5803894045138418,0.13982702928250454,6.0,OC
40A5045,6.203772525307898,6.9,0.08,19.733931097248796,0.286666666667912,0.9933289888042456,0.5023279141490481,0.5173991020214814,8.0,OC
40A5046,77.00404273562526,0.9128867055681018,0.0,14.999999097509152,0.7513088559858369,0.46577461730539566,0.7112249974574107,1.808988539103476,3.0,OC
40A5047,8.466578201431789,1.030000003995302,0.11,9.446470830948295,0.337504055274635,0.45622056794938887,0.6762211177313092,0.7870249985032866,5.0,OC
40A5048,18.648176053945804,1.1001856400328807,0.12,39.826905079697234,0.13000000000938416,0.9997099077268984,0.01423275018987083,0.0036681074036953253,5.0,OC
40A5053,59.56966704121647,0.919461408977541,0.12,26.499997046728673,0.5892973199701861,0.22446254506609703,0.6256762861875191,1.1493355598307993,3.0,OC
40A5055,44.84576915941681,1.3415278966513324,0.26,70.26322374888056,0.28000000011955317,0.9705337720819204,0.15685232051376818,-0.007930052235699859,5.0,OC
40A5056,23.197872316447548,4.47,0.25,62.28238786238856,0.3050000000015516,0.9995039560529656,0.07778174593052022,0.016805555558184603,4.0,OC
40A5057,53.490430767759435,1.291891119462217,0.2,99.3763831732958,0.2107039235230513,0.9997850042509732,0.012631648458118587,0.008951819094256424,4.0,OC
40A5058,4.35878588983312,3.569999999959633,0.02,16.42182426752842,0.08250000000000607,0.9957582264698761,0.20512191496766016,1.2195512822348629,6.0,OC
40A5059,4.545886862208653,2.1,0.0,14.3190115298231,0.09000000010785444,0.9996939165922716,0.03162277660168379,0.021482684807350553,6.0,OC
40A5060,10.568050755272,0.67,0.0,34.751998051009906,0.025000000000000012,0.9985104270109236,0.021213203435596427,0.2812499999999999,4.0,OC
40A5061,14.598492458174373,0.8217328319105793,0.0,44.12446703653483,0.040000000025629964,0.9821429597348771,0.08966968114119378,0.46629581347212773,5.0,OC
40A5064,8.109953494636288,2.67,0.07,16.40174717400543,0.3533333333336056,0.9328888722111741,0.5790797296861057,0.5442329424267406,8.0,OC
40A5065,7.810282221307483,0.79,0.09,14.214734555450791,0.1280000005068083,0.9852164920642053,0.074027022093287,0.05555555907505779,6.0,OC
40A5067,12.993258215944783,0.86,0.11,22.05614587760232,0.15750000000001235,0.980443528359988,0.08874119674649425,0.0583201581028344,5.0,OC
40A5069,8.335323587282405,4.16,0.04,33.28964312156825,0.07666666669385169,0.9998074829804552,0.0496655480858378,0.11439393964725393,5.0,OC
40A5070,12.29381970648834,2.2355439739347376,0.04,45.92575598910779,0.05333333333341032,0.9991477179730124,0.058988894365067185,0.012101977844574174,6.0,OC
40A5071,29.764150292484953,0.787476944948278,0.08,65.68247772686433,0.08666666667228654,0.9785866907919317,0.09469911090660135,0.08281878684111377,6.0,OC
40A5072,11.391806780700321,1.9198009242057572,0.04,38.863889195435625,0.06333333333368804,0.9995283641509117,0.03606469099141814,0.04681830916639618,6.0,OC
40A5074,110.3803129723843,1.6822184227526433,0.08,175.5388187103083,0.49737998862364113,0.12023930131112173,2.8499527653804564,3.00749644281728,8.0,OC
40A5077,11.406517277955112,2.1312479240517725,0.14,30.270931203456882,0.1500000000000012,0.9967424442915207,0.09560995754080999,0.025237649390432874,5.0,OC
40A5079,14.9356488760568,1.9393145615975131,0.04,42.41360648361458,0.11333333424373772,0.8670240993328134,0.622234130924892,0.32495232453542766,6.0,OC
40A5080,15.825905336139755,2.641675644444848,0.08,41.6560718341671,0.19000000015783255,0.9519129363229036,0.47128194521376376,0.1492762565723727,5.0,OC
40A5083,30.94117924469307,2.8281021398288018,0.06,109.5452636113189,0.10133826747683687,0.9696656440752237,0.4220555453824851,0.3295897285625207,6.0,OC
40A5084,51.86885484329632,2.008255831015456,0.1,110.70853761485874,0.2810475480914239,0.4794178657733852,1.7227627724992995,0.9081695172320392,7.0,OC
40A5086,16.880798181586936,0.77,0.09,29.601125410069272,0.1333333333336778,0.972707871624395,0.09416297927883689,0.08994708994890949,5.0,OC
40A5088,7.914241539818778,0.8,0.0,27.974697285265382,0.023333333369263798,0.999435649990124,0.01632993161855452,0.17777777897545993,5.0,OC
40A5090,4.105734234413181,2.31,0.03,13.80748638592986,0.08000000000000485,0.9986918393384905,0.07348469228349534,0.23232323232329202,6.0,OC
40A5092,7.894348228472362,4.4,0.12,27.03172378708006,0.14333333333333323,0.9998529117309058,0.04546060565661952,0.01866096866096851,5.0,OC
40A5093,24.535580936524866,1.4577583313977585,0.08,71.21767675002687,0.08000000000604211,0.9891395366565234,0.12013798469719539,0.07189173559615063,5.0,OC
40A5094,20.880347931084096,2.7250758966080655,0.09,71.21121322739698,0.0900000000000007,0.9932619470634143,0.1803887512493162,0.18973521263124676,5.0,OC
40A5095,14.406113942547679,1.5394160604109226,0.02,49.37170358427075,0.05000000003744593,0.9958170617723612,0.08978474120641891,0.2733550066829068,8.0,OC
40A5096,10.52684599440304,2.193242290011667,0.07,34.4258138836349,0.0833333333487024,0.9975597118647836,0.09541629285576951,-0.028084654583840647,6.0,OC
40A5098,9.855325668089739,1.1,0.03,31.87353544892398,0.04333333333452285,0.9987537193687588,0.03265986323710905,0.10158730160656038,5.0,OC
40A5108,7.813548771717463,1.62,0.1,20.17513298866905,0.12250000000000001,0.9995176760252824,0.029580398915498084,0.010523504273504352,6.0,OC
40A5112,31.60690252929314,0.8727032311010774,0.04,93.7123504391924,0.04500000001336116,0.9701893573081618,0.13603458429108706,-0.05159270038350413,7.0,OC
40A5114,7.956354506194423,1.12,0.02,20.582067323150653,0.08428571429674549,0.989506950267421,0.0998570406702931,0.33603151713121043,9.0,OC
40A5117,25.821138770068426,0.4479821801908836,0.04,54.95233912025253,0.05333333333335782,0.9972039617804205,0.018886103555758163,0.011349491899084047,6.0,OC
40A5118,9.3669169483799,13.7,0.74,24.579584583512506,0.99333333335,0.9978348681526659,0.5256107558513873,0.05065099453067712,5.0,OC
