profile_name,failcode,reason
2003011,-2,Less than 3 layers (in zstarfunc)
2003013,-2,Less than 3 layers (in zstarfunc)
2003016,-2,Less than 3 layers (in zstarfunc)
2003017,-2,Less than 3 layers (in zstarfunc)
2003019,-2,Less than 3 layers (in zstarfunc)
2003021,-2,Less than 3 layers (in zstarfunc)
2003023,-2,Less than 3 layers (in zstarfunc)
2003025,-2,Less than 3 layers (in zstarfunc)
2003027,-2,Less than 3 layers (in zstarfunc)
2003029,-2,Less than 3 layers (in zstarfunc)
2004006,-2,Less than 3 layers (in zstarfunc)
2070041,-3,No available layers
2075017,-2,Less than 3 layers (in zstarfunc)
2075018,-2,Less than 3 layers (in zstarfunc)
2075019,-2,Less than 3 layers (in zstarfunc)
2075020,-2,Less than 3 layers (in zstarfunc)
2075021,-2,Less than 3 layers (in zstarfunc)
3001026,-2,Less than 3 layers (in zstarfunc)
4002017,-2,Less than 3 layers (in zstarfunc)
6003001,-2,Less than 3 layers (in zstarfunc)
6003002,-2,Less than 3 layers (in zstarfunc)
6007002,-2,Less than 3 layers (in zstarfunc)
6007004,-2,Less than 3 layers (in zstarfunc)
6007005,-2,Less than 3 layers (in zstarfunc)
6007013,-2,Less than 3 layers (in zstarfunc)
7001001,-2,Less than 3 layers (in zstarfunc)
7001002,-2,Less than 3 layers (in zstarfunc)
7001003,-2,Less than 3 layers (in zstarfunc)
7001004,-2,Less than 3 layers (in zstarfunc)
7001007,-2,Less than 3 layers (in zstarfunc)
7001008,-2,Less than 3 layers (in zstarfunc)
7001009,-2,Less than 3 layers (in zstarfunc)
7001010,-2,Less than 3 layers (in zstarfunc)
7001011,-2,Less than 3 layers (in zstarfunc)
7001012,-2,Less than 3 layers (in zstarfunc)
7001013,-2,Less than 3 layers (in zstarfunc)
7001014,-2,Less than 3 layers (in zstarfunc)
7001015,-2,Less than 3 layers (in zstarfunc)
7001016,-2,Less than 3 layers (in zstarfunc)
7001017,-2,Less than 3 layers (in zstarfunc)
7001018,-2,Less than 3 layers (in zstarfunc)
7001019,-2,Less than 3 layers (in zstarfunc)
7001020,-2,Less than 3 layers (in zstarfunc)
7001021,-2,Less than 3 layers (in zstarfunc)
7001022,-2,Less than 3 layers (in zstarfunc)
7001023,-2,Less than 3 layers (in zstarfunc)
7001024,-2,Less than 3 layers (in zstarfunc)
7001025,-2,Less than 3 layers (in zstarfunc)
7001026,-2,Less than 3 layers (in zstarfunc)
7001027,-2,Less than 3 layers (in zstarfunc)
7001028,-2,Less than 3 layers (in zstarfunc)
7007012,-2,Less than 3 layers (in zstarfunc)
7007020,-2,Less than 3 layers (in zstarfunc)
